nohup: 忽略输入
Dataset: pubmed

# Run:0 with random seed:1
Epoch:0 Loss:1.37523890
Epoch:1 Loss:1.21223117
Epoch:2 Loss:1.08549838
Epoch:3 Loss:1.04368793
Epoch:4 Loss:1.02295462
Epoch:5 Loss:1.01244319
Epoch:6 Loss:0.99141787
Epoch:7 Loss:0.97849120
Epoch:8 Loss:0.97133827
Epoch:9 Loss:0.95570159
Epoch:10 Loss:0.94077282
Epoch:11 Loss:0.93943080
Epoch:12 Loss:0.93088566
Epoch:13 Loss:0.92480276
Epoch:14 Loss:0.92278006
Epoch:15 Loss:0.90897327
Epoch:16 Loss:0.91437486
Epoch:17 Loss:0.91568814
Epoch:18 Loss:0.90294089
Epoch:19 Loss:0.89801531
Epoch:20 Loss:0.89661817
Epoch:21 Loss:0.89243562
Epoch:22 Loss:0.88732305
Epoch:23 Loss:0.88143608
Epoch:24 Loss:0.87875976
Epoch:25 Loss:0.87408900
Epoch:26 Loss:0.87119705
Epoch:27 Loss:0.87291256
Epoch:28 Loss:0.87203351
Epoch:29 Loss:0.86681330
Epoch:30 Loss:0.86027046
Epoch:31 Loss:0.85818856
Epoch:32 Loss:0.86230962
Epoch:33 Loss:0.85769515
Epoch:34 Loss:0.85851647
Epoch:35 Loss:0.84632370
Epoch:36 Loss:0.85078350
Epoch:37 Loss:0.85884069
Epoch:38 Loss:0.84289195
Epoch:39 Loss:0.84856337
Epoch:40 Loss:0.84034168
Epoch:41 Loss:0.84690488
Epoch:42 Loss:0.83882019
Epoch:43 Loss:0.83998997
Epoch:44 Loss:0.84122501
Epoch:45 Loss:0.83376910
Epoch:46 Loss:0.82616188
Epoch:47 Loss:0.81894235
Epoch:48 Loss:0.82124506
Epoch:49 Loss:0.82401659
Epoch:50 Loss:0.81444011
Epoch:51 Loss:0.81842232
Epoch:52 Loss:0.81265742
Epoch:53 Loss:0.80892643
Epoch:54 Loss:0.81442058
Epoch:55 Loss:0.79751404
Epoch:56 Loss:0.81430464
Epoch:57 Loss:0.79695296
Epoch:58 Loss:0.78927306
Epoch:59 Loss:0.78888793
Epoch:60 Loss:0.79325743
Epoch:61 Loss:0.77708765
Epoch:62 Loss:0.78139558
Epoch:63 Loss:0.78407991
Epoch:64 Loss:0.77114678
Epoch:65 Loss:0.77347045
Epoch:66 Loss:0.77060940
Epoch:67 Loss:0.76114799
Epoch:68 Loss:0.75964826
Epoch:69 Loss:0.75532884
Epoch:70 Loss:0.75033711
Epoch:71 Loss:0.75033032
Epoch:72 Loss:0.74652613
Epoch:73 Loss:0.73380157
Epoch:74 Loss:0.74027876
Epoch:75 Loss:0.73106123
Epoch:76 Loss:0.73189884
Epoch:77 Loss:0.72461839
Epoch:78 Loss:0.73074948
Epoch:79 Loss:0.71098590
Epoch:80 Loss:0.71849520
Epoch:81 Loss:0.70855327
Epoch:82 Loss:0.70905155
Epoch:83 Loss:0.70958102
Epoch:84 Loss:0.70497313
Epoch:85 Loss:0.70203260
Epoch:86 Loss:0.70162052
Epoch:87 Loss:0.69930065
Epoch:88 Loss:0.68724821
Epoch:89 Loss:0.69765943
Epoch:90 Loss:0.68931150
Epoch:91 Loss:0.68956379
Epoch:92 Loss:0.68028957
Epoch:93 Loss:0.68074659
Epoch:94 Loss:0.68133897
Epoch:95 Loss:0.67380715
Epoch:96 Loss:0.67289636
Epoch:97 Loss:0.67049097
Epoch:98 Loss:0.67142658
Epoch:99 Loss:0.66822181
Epoch:100 Loss:0.67267484
Epoch:101 Loss:0.66660523
Epoch:102 Loss:0.65615463
Epoch:103 Loss:0.66084020
Epoch:104 Loss:0.65405553
Epoch:105 Loss:0.66131989
Epoch:106 Loss:0.65228815
Epoch:107 Loss:0.65597097
Epoch:108 Loss:0.65201079
Epoch:109 Loss:0.64592825
Epoch:110 Loss:0.64723370
Epoch:111 Loss:0.64989258
Epoch:112 Loss:0.63744333
Epoch:113 Loss:0.64322510
Epoch:114 Loss:0.63073646
Epoch:115 Loss:0.64809945
Epoch:116 Loss:0.64309527
Epoch:117 Loss:0.63468462
Epoch:118 Loss:0.63076796
Epoch:119 Loss:0.63641327
Epoch:120 Loss:0.63304139
Epoch:121 Loss:0.62609292
Epoch:122 Loss:0.62568520
Epoch:123 Loss:0.63007243
Epoch:124 Loss:0.62592171
Epoch:125 Loss:0.61797278
Epoch:126 Loss:0.61720426
Epoch:127 Loss:0.62529058
Epoch:128 Loss:0.62681380
Epoch:129 Loss:0.61605306
Epoch:130 Loss:0.62301140
Epoch:131 Loss:0.62568996
Epoch:132 Loss:0.61648898
Epoch:133 Loss:0.61911482
Epoch:134 Loss:0.61347393
Epoch:135 Loss:0.61238232
Epoch:136 Loss:0.61506066
Epoch:137 Loss:0.60634087
Epoch:138 Loss:0.61497557
Epoch:139 Loss:0.61140399
Epoch:140 Loss:0.60655706
Epoch:141 Loss:0.61056636
Epoch:142 Loss:0.59976988
Epoch:143 Loss:0.60531598
Epoch:144 Loss:0.60419401
Epoch:145 Loss:0.59952680
Epoch:146 Loss:0.60112662
Epoch:147 Loss:0.60226904
Epoch:148 Loss:0.60212022
Epoch:149 Loss:0.60128450
Epoch:150 Loss:0.59938424
Epoch:151 Loss:0.59552443
Epoch:152 Loss:0.59894977
Epoch:153 Loss:0.58279604
Epoch:154 Loss:0.58800770
Epoch:155 Loss:0.58903297
Epoch:156 Loss:0.59218256
Epoch:157 Loss:0.58517733
Epoch:158 Loss:0.59160348
Epoch:159 Loss:0.57880709
Epoch:160 Loss:0.59543074
Epoch:161 Loss:0.59604183
Epoch:162 Loss:0.58550129
Epoch:163 Loss:0.57553124
Epoch:164 Loss:0.58363010
Epoch:165 Loss:0.58849986
Epoch:166 Loss:0.57585075
Epoch:167 Loss:0.58608985
Epoch:168 Loss:0.59127731
Epoch:169 Loss:0.57624417
Epoch:170 Loss:0.57354612
Epoch:171 Loss:0.57816211
Epoch:172 Loss:0.57928816
Epoch:173 Loss:0.57353097
Epoch:174 Loss:0.57799061
Epoch:175 Loss:0.56615798
Epoch:176 Loss:0.58131350
Epoch:177 Loss:0.56761961
Epoch:178 Loss:0.56203284
Epoch:179 Loss:0.57651603
Epoch:180 Loss:0.57254790
Epoch:181 Loss:0.57036908
Epoch:182 Loss:0.56664569
Epoch:183 Loss:0.56885762
Epoch:184 Loss:0.56220509
Epoch:185 Loss:0.57129363
Epoch:186 Loss:0.56122113
Epoch:187 Loss:0.55482626
Epoch:188 Loss:0.56298474
Epoch:189 Loss:0.56245187
Epoch:190 Loss:0.55647051
Epoch:191 Loss:0.56829909
Epoch:192 Loss:0.56191509
Epoch:193 Loss:0.56460154
Epoch:194 Loss:0.55517914
Epoch:195 Loss:0.55278999
Epoch:196 Loss:0.56065917
Epoch:197 Loss:0.55124888
Epoch:198 Loss:0.55462703
Epoch:199 Loss:0.56153501
Epoch:200 Loss:0.54891576
Epoch:201 Loss:0.56141160
Epoch:202 Loss:0.55539511
Epoch:203 Loss:0.54720360
Epoch:204 Loss:0.54370422
Epoch:205 Loss:0.54750585
Epoch:206 Loss:0.54985764
Epoch:207 Loss:0.55060153
Epoch:208 Loss:0.54465625
Epoch:209 Loss:0.54653517
Epoch:210 Loss:0.54633029
Epoch:211 Loss:0.54596301
Epoch:212 Loss:0.55452459
Epoch:213 Loss:0.54703730
Epoch:214 Loss:0.53735683
Epoch:215 Loss:0.54616720
Epoch:216 Loss:0.54024234
Epoch:217 Loss:0.54648610
Epoch:218 Loss:0.54226242
Epoch:219 Loss:0.54529564
Epoch:220 Loss:0.53684484
Epoch:221 Loss:0.53687213
Epoch:222 Loss:0.52911060
Epoch:223 Loss:0.54108708
Epoch:224 Loss:0.53968870
Epoch:225 Loss:0.53770681
Epoch:226 Loss:0.53682779
Epoch:227 Loss:0.53314261
Epoch:228 Loss:0.53862990
Epoch:229 Loss:0.52055060
Epoch:230 Loss:0.52464097
Epoch:231 Loss:0.53820290
